Intrebare, Raspuns1, Raspuns2, Raspuns3, RaspunsCorect
Ce este un limbaj de programare?, Un set de instrucțiuni, Un dispozitiv hardware, Un tip de mouse, 0
Ce este un algoritm?, Un tip de calculator, Un set de reguli pentru rezolvarea unei probleme, Un limbaj de programare, 1
Ce reprezintă "HTML" în programare web?, Hyper Text Markup Language, High-level Text Manipulation Language, Hyper Transfer and Markup Language, 0
Care este rolul unei variabile în programare?, Stochează date temporare, Controlează buclele, Stabilește conexiunea la internet, 0
Ce este un "loop" în programare?, Un bug în cod, O funcție specială, O buclă care se repetă, 2
La ce folosește "CSS" în dezvoltarea web?, Computer System Security, Cascading Style Sheets, Client-Side Scripting, 1
Ce este un "repository" în contextul sistemelor de control al versiunilor?, Un loc unde se stochează codul sursă, Un server de baze de date, Un tip de limbaj de programare, 0
Ce reprezintă "API" în dezvoltarea software?, Application Programming Interface, Advanced Programming Instruction, Automated Program Integration, 0
Care este scopul unei funcții în programare?, De a îmbunătăți performanța hardware-ului, De a împărți codul în module mai mici și reutilizabile, De a rezolva problemele de securitate, 1
Ce este o bază de date relațională?, Un sistem de operare specializat, O metodă de stocare a fișierelor, Un tip de bază de date care organizează datele în tabele relaționale, 2